date,open,high,low,close,adjusted_close,volume
2011-11-01,122.03,123.51,121.52,122.0,94.8850536114338,414920750
2011-11-02,123.83,124.4,122.79,123.99,96.4327688301777,244533108
2011-11-03,125.27,126.5,123.6,126.25,98.1904755610124,286049726
2011-11-04,125.23,125.7,124.01,125.48,97.5916108783829,248867478
2011-11-07,125.39,126.39,124.2,126.26,98.1982530244232,196176091
2011-11-08,126.92,128.02,125.71,127.88,99.4582020969684,224083163
2011-11-09,124.89,125.8,122.86,123.16,95.7872393670835,336963772
2011-11-10,124.79,124.94,123.02,124.32,96.6894251227332,231317470
2011-11-11,125.83,126.99,125.79,126.66,98.5093515608541,189673478
2011-11-14,126.19,127.45,124.92,125.46,97.5760559515613,158964273
2011-11-15,125.17,126.75,124.72,126.08,98.0582586830293,184179838
2011-11-16,124.81,126.34,123.9,124.08,96.5027660008746,234773689
2011-11-17,123.85,124.16,121.23,122.11,94.9706057089523,330058092
2011-11-18,122.5,122.75,121.47,121.98,94.8694986846122,215045815
2011-11-21,120.2,120.35,118.65,119.66,93.0651271733128,228483956
2011-11-22,119.4,120.1,118.52,119.19,92.6995863930065,215981643
2011-11-23,118.07,119.19,116.56,116.56,90.6541135159731,223964369
2011-11-25,116.38,117.7,116.2,116.34,90.4830093209361,99556980
2011-11-28,119.54,120.18,118.82,119.71,93.1040144903667,209775055
2011-11-29,120.05,121.0,119.61,120.05,93.368448246333,198727310
2011-11-30,123.49,125.22,120.0,124.99,97.210515171255,322365596
2011-12-01,124.85,125.64,124.43,124.97,97.1949602444334,176496621
2011-12-02,126.12,126.5,124.78,124.86,97.1094081469149,220768750
2011-12-05,126.84,127.18,125.44,126.22,98.1671431707801,224770475
2011-12-06,126.21,127.11,125.76,126.26,98.1982530244232,178219945
2011-12-07,125.84,127.26,124.97,126.73,98.5637938047295,236861816
2011-12-08,125.9,126.18,123.65,123.95,96.4016589765346,240131025
2011-12-09,124.51,126.37,124.4,126.05,98.0349262927969,208829481
2011-12-12,124.95,124.97,123.16,124.21,96.6038730252147,214953180
2011-12-13,124.86,125.57,122.45,123.05,95.701687269565,244217330
2011-12-14,122.56,123.03,121.47,121.74,94.6828395627537,237725027
2011-12-15,123.03,123.2,121.99,122.18,95.0250479528277,198553939
2011-12-16,122.23,122.95,121.3,121.59,95.165143401246,219592687
2011-12-19,122.06,122.32,120.03,120.29,94.1476692140462,182949189
2011-12-20,122.18,124.14,120.37,123.93,96.9965969382055,224583759
2011-12-21,123.93,124.36,122.75,124.17,97.1844383266116,193887149
2011-12-22,124.63,125.4,124.23,125.27,98.045378023473,119059500
2011-12-23,125.67,126.43,125.41,126.39,98.9219711693682,91800080
2011-12-27,126.17,126.82,126.06,126.49,99.0002384145374,85494893
2011-12-28,126.51,126.53,124.73,124.83,97.7010021447284,118365897
2011-12-29,125.24,126.25,124.86,126.12,98.7106496074113,123033349
2011-12-30,126.02,126.33,125.5,125.5,98.2253926873622,95272998
2012-01-03,127.76,128.38,127.43,127.5,99.7907375907464,193309527
2012-01-04,127.2,127.81,126.71,127.7,99.9472720810849,126705865
2012-01-05,127.01,128.23,126.43,128.04,100.21338071466,173388995
2012-01-06,128.2,128.22,127.29,127.71,99.9550988056018,147337290
2012-01-09,128.0,128.18,127.41,128.02,100.197727265626,99225199
2012-01-10,129.39,129.65,128.95,129.13,101.066493687005,114679719
2012-01-11,128.73,129.37,128.52,129.2,101.121280758623,111221979
2012-01-12,129.57,129.7,128.54,129.51,101.363909218648,119120347
2012-01-13,128.64,129.05,127.72,128.84,100.839518676014,179613047
2012-01-17,130.08,130.32,128.9,129.34,101.23085490186,131927181
2012-01-18,129.31,130.84,129.08,130.77,102.35007650778,162901737
2012-01-19,131.22,131.57,130.8,131.46,102.890120499447,125972329
2012-01-20,131.24,131.95,130.92,131.95,103.273630000776,138079453
2012-01-23,131.51,132.25,130.98,131.61,103.007521367201,129162435
2012-01-24,130.8,131.5,130.6,131.46,102.890120499447,102701099
2012-01-25,131.26,132.87,130.75,132.56,103.751060196309,198222535
2012-01-26,133.15,133.4,131.36,131.88,103.218842929158,184542356
